PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,9,5,5,6,7,6,5,8,6,2
1,0.0,7,12,10,8,10,6,7,5,6,7
2,0.0,10,9,9,6,10,7,11,4,13,8
3,0.0,7,6,9,5,6,10,9,7,10,10
4,0.0,5,3,5,3,4,5,4,3,6,2
5,0.0,5,6,7,5,2,3,6,5,1,7
6,0.0,5,5,7,2,4,8,3,6,2,6
7,0.0,12,7,5,8,6,7,3,9,5,11
8,0.0,5,8,2,5,5,4,8,6,6,6
9,0.0,10,7,3,9,6,6,4,6,9,5
10,0.0,1,6,6,6,7,5,4,8,7,6
11,NaN,0,7,5,5,3,8,8,5,4,5
12,0.0,7,5,9,9,9,4,8,11,7,6
13,0.0,9,4,8,9,12,11,7,6,8,9
14,0.0,5,5,6,6,3,4,6,3,7,5
15,0.0,3,5,4,8,6,6,7,8,3,5
