PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,78,82,83,81,80,77,80,74,80,79
1,0.0,17,11,14,12,15,20,17,18,18,19
2,0.0,4,4,2,4,2,3,1,6,1,1
3,0.0,1,3,1,3,3,0,2,2,1,1
4,NaN,0,0,0,0,0,0,0,0,0,0
5,NaN,0,0,0,0,0,0,0,0,0,0
6,NaN,0,0,0,0,0,0,0,0,0,0
7,NaN,0,0,0,0,0,0,0,0,0,0
8,NaN,0,0,0,0,0,0,0,0,0,0
9,NaN,0,0,0,0,0,0,0,0,0,0
10,NaN,0,0,0,0,0,0,0,0,0,0
11,NaN,0,0,0,0,0,0,0,0,0,0
12,NaN,0,0,0,0,0,0,0,0,0,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
