Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,0,2,12,11,3,6,9,15,8,11,9,9,0,2,5,3,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,3,13,1,14,0,2,15,4,2,0,9,7,13,11,4,1,0,7,0,13,13,12,10,0,5,3,7,8,2,3,0,14,11,1,5,11,1,7,2,0,6,13,4,10,3,2,2,12,8,3,3,1,0,1,3,10
0,1,2,12,11,3,6,9,15,8,11,9,9,0,2,5,3,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,2,15,4,2,0,9,7,13,11,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,11,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,2,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,2,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,3,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,4,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,5,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,6,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,7,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,8,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,9,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,10,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,11,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,12,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,13,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,14,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,15,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,16,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,17,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
0,18,2,12,11,3,6,9,15,8,11,9,9,0,2,5,10,2,12,3,7,4,7,1,3,6,2,2,1,9,0,12,3,5,10,5,4,8,13,13,5,0,2,14,12,3,3,13,1,14,0,9,15,4,2,0,9,7,13,14,4,1,0,7,0,13,13,12,2,9,5,3,7,8,2,3,0,14,11,1,5,10,1,7,2,0,14,13,4,10,3,2,2,12,1,3,3,1,0,1,14,5
